year_month,product_id,product_price,product_category,forecast_qty
2016-07-01,GGOEA0CH077599,11.99,Notebooks & Journals,3.0
2016-08-01,GGOEA0CH077599,11.99,Notebooks & Journals,2.0
2016-09-01,GGOEA0CH077599,11.99,Notebooks & Journals,0.0
2016-10-01,GGOEA0CH077599,11.99,Notebooks & Journals,1.0
2016-11-01,GGOEA0CH077599,11.99,Notebooks & Journals,1.0
2016-12-01,GGOEA0CH077599,11.99,Notebooks & Journals,4.0
2017-01-01,GGOEA0CH077599,11.99,Notebooks & Journals,1.0
2017-02-01,GGOEA0CH077599,11.99,Notebooks & Journals,1.0
2017-03-01,GGOEA0CH077599,11.99,Notebooks & Journals,1.0
2017-04-01,GGOEA0CH077599,11.99,Notebooks & Journals,1.0
2017-05-01,GGOEA0CH077599,11.99,Notebooks & Journals,1.0
2017-06-01,GGOEA0CH077599,11.99,Notebooks & Journals,2.0
2016-07-01,GGOEA0CH077599,14.99,Notebooks & Journals,0.0
2016-08-01,GGOEA0CH077599,14.99,Notebooks & Journals,0.0
2016-09-01,GGOEA0CH077599,14.99,Notebooks & Journals,0.0
2016-10-01,GGOEA0CH077599,14.99,Notebooks & Journals,0.0
2016-11-01,GGOEA0CH077599,14.99,Notebooks & Journals,0.0
2016-12-01,GGOEA0CH077599,14.99,Notebooks & Journals,0.0
2017-01-01,GGOEA0CH077599,14.99,Notebooks & Journals,1.0
2017-02-01,GGOEA0CH077599,14.99,Notebooks & Journals,1.0
2017-03-01,GGOEA0CH077599,14.99,Notebooks & Journals,0.0
2017-04-01,GGOEA0CH077599,14.99,Notebooks & Journals,0.0
2017-05-01,GGOEA0CH077599,14.99,Notebooks & Journals,0.0
2017-06-01,GGOEA0CH077599,14.99,Notebooks & Journals,0.0
2016-07-01,GGOEAAAB034813,15.99,Apparel,1.0
2016-08-01,GGOEAAAB034813,15.99,Apparel,1.0
2016-09-01,GGOEAAAB034813,15.99,Apparel,1.0
2016-10-01,GGOEAAAB034813,15.99,Apparel,1.0
2016-11-01,GGOEAAAB034813,15.99,Apparel,2.0
2016-12-01,GGOEAAAB034813,15.99,Apparel,2.0
2017-01-01,GGOEAAAB034813,15.99,Apparel,1.0
2017-02-01,GGOEAAAB034813,15.99,Apparel,1.0
2017-03-01,GGOEAAAB034813,15.99,Apparel,1.0
2017-04-01,GGOEAAAB034813,15.99,Apparel,1.0
2017-05-01,GGOEAAAB034813,15.99,Apparel,1.0
2017-06-01,GGOEAAAB034813,15.99,Apparel,1.0
2016-07-01,GGOEAAAB034813,16.99,Apparel,0.0
2016-08-01,GGOEAAAB034813,16.99,Apparel,1.0
2016-09-01,GGOEAAAB034813,16.99,Apparel,1.0
2016-10-01,GGOEAAAB034813,16.99,Apparel,0.0
2016-11-01,GGOEAAAB034813,16.99,Apparel,0.0
2016-12-01,GGOEAAAB034813,16.99,Apparel,0.0
2017-01-01,GGOEAAAB034813,16.99,Apparel,0.0
2017-02-01,GGOEAAAB034813,16.99,Apparel,0.0
2017-03-01,GGOEAAAB034813,16.99,Apparel,0.0
2017-04-01,GGOEAAAB034813,16.99,Apparel,1.0
2017-05-01,GGOEAAAB034813,16.99,Apparel,0.0
2017-06-01,GGOEAAAB034813,16.99,Apparel,0.0
2016-07-01,GGOEAAAB034813,19.99,Apparel,0.0
